owner_repo,url,http_status,active,redirected,final_url,in_v1,in_v2
0xdorifto/NFTsWithBenefits,https://github.com/0xdorifto/NFTsWithBenefits,200,True,True,https://github.com/gastaofaria/NFTsWithBenefits,False,True
0xSteph/pentest-ai-agents,https://github.com/0xSteph/pentest-ai-agents,200,True,False,https://github.com/0xSteph/pentest-ai-agents,False,True
1810suman/Agri_Vision,https://github.com/1810suman/Agri_Vision,200,True,False,https://github.com/1810suman/Agri_Vision,False,True
335234131/agent-browser-mcp,https://github.com/335234131/agent-browser-mcp,200,True,False,https://github.com/335234131/agent-browser-mcp,False,True
a16z-infra/ai-town,https://github.com/a16z-infra/ai-town,200,True,False,https://github.com/a16z-infra/ai-town,True,True
AbdooMohamedd/Multi-Agent-YouTube-Summarizer-System,https://github.com/AbdooMohamedd/Multi-Agent-YouTube-Summarizer-System,200,True,False,https://github.com/AbdooMohamedd/Multi-Agent-YouTube-Summarizer-System,True,True
Abdulbasit110/candidate-screening-agent,https://github.com/Abdulbasit110/candidate-screening-agent,200,True,False,https://github.com/Abdulbasit110/candidate-screening-agent,False,True
abdulrabbt/subtitle-translation-agent,https://github.com/abdulrabbt/subtitle-translation-agent,200,True,False,https://github.com/abdulrabbt/subtitle-translation-agent,False,True
abelponce03/Hex-IA-2025,https://github.com/abelponce03/Hex-IA-2025,200,True,False,https://github.com/abelponce03/Hex-IA-2025,False,True
abhi-abhi86/disease-predictor,https://github.com/abhi-abhi86/disease-predictor,200,True,False,https://github.com/abhi-abhi86/disease-predictor,False,True
achalise/llm-experiments,https://github.com/achalise/llm-experiments,200,True,False,https://github.com/achalise/llm-experiments,False,True
affaan-m/ECC,https://github.com/affaan-m/ECC,200,True,False,https://github.com/affaan-m/ECC,True,True
ag2ai/ag2,https://github.com/ag2ai/ag2,200,True,False,https://github.com/ag2ai/ag2,True,True
Agent-Reach/Agent-Reach,https://github.com/Agent-Reach/Agent-Reach,404,False,False,,False,True
Agent-Threat-Rule/agent-threat-rules,https://github.com/Agent-Threat-Rule/agent-threat-rules,200,True,False,https://github.com/Agent-Threat-Rule/agent-threat-rules,False,True
AgentBudget/agentbudget,https://github.com/AgentBudget/agentbudget,200,True,False,https://github.com/AgentBudget/agentbudget,False,True
agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,200,True,False,https://github.com/agentgateway/agentgateway,True,True
AgenticHealthAI/Awesome-AI-Agents-for-Healthcare,https://github.com/AgenticHealthAI/Awesome-AI-Agents-for-Healthcare,200,True,False,https://github.com/AgenticHealthAI/Awesome-AI-Agents-for-Healthcare,True,True
agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,200,True,False,https://github.com/agentscope-ai/agentscope,True,True
agentscope-ai/QwenPaw,https://github.com/agentscope-ai/QwenPaw,200,True,False,https://github.com/agentscope-ai/QwenPaw,True,True
AgentTax/agenttax-agent,https://github.com/AgentTax/agenttax-agent,200,True,False,https://github.com/AgentTax/agenttax-agent,False,True
agentuniverse-ai/agentUniverse,https://github.com/agentuniverse-ai/agentUniverse,200,True,False,https://github.com/agentuniverse-ai/agentUniverse,True,True
agiresearch/ASB,https://github.com/agiresearch/ASB,200,True,False,https://github.com/agiresearch/ASB,False,True
agno-agi/agent-api,https://github.com/agno-agi/agent-api,200,True,False,https://github.com/agno-agi/agent-api,False,True
agno-agi/agno,https://github.com/agno-agi/agno,200,True,False,https://github.com/agno-agi/agno,True,True
agno-agi/phidata,https://github.com/agno-agi/phidata,200,True,False,https://github.com/agno-agi/phidata,False,True
ai-evos/agent-skills,https://github.com/ai-evos/agent-skills,200,True,False,https://github.com/ai-evos/agent-skills,False,True
ai-guide/ai-guide,https://github.com/ai-guide/ai-guide,404,False,False,,False,True
AI-Hub-Admin/HealthcareAgent,https://github.com/AI-Hub-Admin/HealthcareAgent,200,True,True,https://github.com/aiagenta2z/HealthcareAgent,True,True
AI-Hub-Admin/LawAgent,https://github.com/AI-Hub-Admin/LawAgent,200,True,True,https://github.com/aiagenta2z/LawAgent,True,True
ai-safety-institute/AgentHarm,https://github.com/ai-safety-institute/AgentHarm,404,False,False,,False,True
ai16z/eliza,https://github.com/ai16z/eliza,200,True,True,https://github.com/elizaOS/eliza,False,True
aiming-lab/AutoResearchClaw,https://github.com/aiming-lab/AutoResearchClaw,200,True,False,https://github.com/aiming-lab/AutoResearchClaw,True,True
aiwaves-cn/agents,https://github.com/aiwaves-cn/agents,200,True,False,https://github.com/aiwaves-cn/agents,True,True
ajhcs/healthcare-agents,https://github.com/ajhcs/healthcare-agents,200,True,False,https://github.com/ajhcs/healthcare-agents,False,True
AkshatBhat/Langflow-Customer-Support-Agent,https://github.com/AkshatBhat/Langflow-Customer-Support-Agent,200,True,False,https://github.com/AkshatBhat/Langflow-Customer-Support-Agent,True,True
AleksNeStu/ai-real-estate-assistant,https://github.com/AleksNeStu/ai-real-estate-assistant,200,True,False,https://github.com/AleksNeStu/ai-real-estate-assistant,True,True
alex-jb/orallexa-ai-trading-agent,https://github.com/alex-jb/orallexa-ai-trading-agent,200,True,False,https://github.com/alex-jb/orallexa-ai-trading-agent,True,True
Alibaba-NLP/DeepResearch,https://github.com/Alibaba-NLP/DeepResearch,200,True,False,https://github.com/Alibaba-NLP/DeepResearch,False,True
All-Hands-AI/OpenHands,https://github.com/All-Hands-AI/OpenHands,200,True,True,https://github.com/OpenHands/OpenHands,False,True
Allen091080/flashcard-maker,https://github.com/Allen091080/flashcard-maker,200,True,False,https://github.com/Allen091080/flashcard-maker,False,True
allenai/agent-baselines,https://github.com/allenai/agent-baselines,200,True,False,https://github.com/allenai/agent-baselines,True,True
allenai/asta-paper-finder,https://github.com/allenai/asta-paper-finder,200,True,False,https://github.com/allenai/asta-paper-finder,True,True
